protein name	cluster
PRB4	1
SLC51B	1
ETNK1	1
SGTB	1
EVA1A	1
CYB5R1	1
MDFI	2
ZNF613	2
DCANP1	2
KIAA0040	2
FOXD4	2
SELENOM	2
RNPS1	3
ZNF286A	3
ZNF41	3
AC005324.3	3
ZNF345	3
C11orf87	4
LRFN4	4
KRTAP4-12	4
CFP	4
PTPMT1	4
LCE1B	4
CYP21A2	4
GRN	4
CDPF1	4
LCE2C	4
KRTAP3-1	4
NECTIN2	4
FASLG	4
SLC43A2	4
KRTAP5-6	4
B4GALT7	4
KRTAP9-8	4
PTGDS	4
RAMP3	4
CERK	4
KRTAP12-1	4
KRTAP1-3	4
MT1M	4
CES1	4
KRTAP12-3	4
GPRIN2	4
GATA3	4
SLC25A18	4
KRTAP9-2	4
UTP23	4
BMP7	4
GLP1R	4
ANAPC11	4
TRIM42	4
CD300LG	4
VWC2	4
ZNF440	4
SLC23A1	4
SPPL2C	4
KCNS2	4
ACY3	4
RGS17	4
NPDC1	4
C11orf1	4
PGAP6	4
MELTF	4
SPATA8	4
TGFB1	4
CNFN	4
FUCA2	4
RGL2	4
NR4A3	4
HSPA12B	4
CLEC18A	4
KRTAP1-5	4
CYSRT1	4
ADAMTSL5	4
ITGB5	4
BRME1	4
ICAM4	4
LCE3C	4
KRTAP21-2	4
SSC4D	4
LCE2A	4
MXD3	4
KRTAP4-1	4
KRTAP5-7	4
KRTAP3-2	4
LRRC41	4
INPP5D	4
VSTM4	4
KRTAP5-1	4
PCSK5	4
ITGB4	4
C11orf16	4
KRTAP5-9	4
RIMBP3C	4
CRYBA1	4
FEZF1	4
SEMA4C	4
P4HB	4
SLC15A2	4
CHRNG	4
PIGS	4
KRTAP12-4	4
LCE1D	4
POTEB3	4
ZNF266	4
NECTIN3	4
LCE2D	4
CST9L	4
INS	4
PRR30	4
SMOC1	4
ALDH3B1	4
SLC6A20	4
RSPO2	4
KRTAP19-2	4
KRTAP5-4	4
CCDC28A-AS1	4
LCE1E	4
KRTAP4-4	4
RBP3	4
ZNF786	4
PLA2G10	4
CST2	4
SLC5A5	4
SPG7	4
HEY2	4
ZNF843	4
MACO1	4
MRPL23	4
PLSCR2	4
SPRY3	4
KRTAP1-1	4
KRT83	4
TGM1	4
RPS19BP1	4
CSF1	4
TSPAN4	4
KRTAP3-3	4
SPRY4	4
FBLN2	4
SPEF1	4
ZFHX2	4
ESM1	4
NMU	4
CCER1	4
KRTAP5-3	4
CTSZ	4
ADAMTSL3	4
SLC13A5	4
EMC7	4
AL807752.7	4
SPRY1	4
GATA2	4
MRPL40	4
SEMA3B	4
SPATA3	4
FZD10	4
PKD2	4
SLC25A48	4
LCE2B	4
RHBG	4
GSTP1	4
KRTAP4-2	4
RGS20	4
SMUG1	4
MFSD13A	4
RALGDS	4
KRTAP9-3	4
NUBP2	4
ZDHHC1	4
P2RX7	4
TRAPPC14	4
NEU4	4
CRH	4
NKD1	4
KLK8	4
R3HDM2	4
PRF1	4
LCE3B	4
ITPRIPL1	5
SGTA	5
CDH15	5
SERPINE1	5
NAXD	5
SMIM14	5
FGF21	5
CD99L2	5
RNASE10	5
ERP27	5
BTC	5
CAND2	6
TAOK2	6
MICOS10	6
TEX44	6
SDHAF1	6
CIDEB	6
TIMM17B	6
MPC2	6
INCA1	7
PSMB2	7
KLHL26	7
KIR2DL4	7
PDP1	7
SCN5A	8
TOX4	8
GTF2F2	8
SELENOV	8
ZMYND19	8
ADGRG3	9
HAS3	9
GJB4	9
DAGLA	9
LHFPL5	9
H2AB2	10
MESD	10
H2BC13	10
H2AB3	10
ZNF441	10
TEX48	10
CDYL2	11
SPANXN2	11
ZNF84	11
NOL12	11
ZNF2	11
CDC14B	11
DLG2	12
KDELR1	12
VTN	12
DLG3	12
OSBP2	12
IVD	13
RIPK4	13
PRR5	13
YWHAZ	13
GPSM3	13
COA7	13
HIGD2B	13
RNF186	14
ZNF174	14
ZSCAN21	14
ZSCAN25	14
ZNF449	14
PGBD1	14
SCAND1	14
ZNF397	14
ZSCAN18	14
ZSCAN16	14
ZNF24	14
ZKSCAN7	14
SMYD1	15
FAM166A	15
UTP14A	15
FAM204A	15
ZBTB3	15
DPYSL2	16
DPYSL5	16
DPYSL3	16
CRMP1	16
CFAP161	16
DDIT4L	17
BCL2L14	17
ZNF280A	17
NR2C2AP	17
PDE4C	17
GSDMA	18
LETMD1	18
APOC4	18
APOC4-APOC2	18
RSAD2	18
TSN	19
ANKRD28	19
ZZZ3	19
AEBP2	19
TRIM10	19
SH3GLB2	19
INO80E	19
CEP95	19
PICK1	19
IPO8	19
ARMCX1	19
PTRH1	19
FAM219B	19
RUBCN	19
SSNA1	19
GEMIN4	20
NPPB	20
KRTAP13-4	20
UFC1	20
PTCD1	20
DYNLL2	21
DYNLL1	21
GNL3L	21
THAP10	21
FAM117B	21
C12orf40	21
PTBP2	22
MRPL15	22
RBM4B	22
SNRPA1	22
