cluster	p-value	GO-term
1	56.75150695047198	GO:0070268
2	25.41961527349202	GO:0031424
3	9.081650573820983	GO:0034770
4	14.891820346922103	GO:0006397
5	13.412823828561125	GO:2000352
6	10.955747281278825	GO:0048208
7	9.081650573820983	GO:0086048
8	8.8993365996285	GO:0090128
9	7.983129276419334	GO:0010831
10	5.799403946945673	GO:0042632
11	8.61167348358421	GO:0021782
12	8.8993365996285	GO:0031283
13	26.84389547091092	GO:1904825
14	15.336849945649789	GO:0034472
15	8.745193502476479	GO:0051306
16	7.541379931386005	GO:0032099
17	35.462450425453234	GO:0015671
18	20.279347206528854	GO:0060333
19	10.087681234010738	GO:0006511
20	51.18225002601574	GO:0031424
21	8.72654541684631	GO:0045944
22	37.16420778117857	GO:0070268
23	28.62482555815203	GO:0006357
24	8.388548888648739	GO:0001765
25	7.877783925982455	GO:0070831
26	11.460851212959243	GO:0007417
27	9.081650573820983	GO:0006850
28	47.658061398921994	GO:0031424
29	8.745193502476479	GO:0009056
30	9.081650573820983	GO:0061739
31	21.818894806643467	GO:0045070
32	10.94881763580731	GO:0019233
33	8.005594550238298	GO:1902993
34	7.983129276419334	GO:2000562
35	12.990482751078758	GO:0043484
36	8.38854888859886	GO:0006116
37	10.483449702377905	GO:0031424
