protein name	cluster
PIMREG	1
TMEM200A	1
TRAF3IP3	1
MRPL45	1
PLEKHA3	1
GRAMD2A	1
EMD	1
KCNJ8	1
BCL2L10	1
ERMAP	1
BOLA3	2
GPATCH11	2
CSNK2A1	2
OPTN	2
NMNAT1	2
KXD1	2
TRIM35	2
ZNF3	2
ESCO2	2
SH2B2	2
DNAJB13	2
RASSF8	2
RAPGEF3	2
CNTROB	2
MAFG	2
ZFP2	2
ATP6V1D	2
HSF2	2
C4orf45	2
ARHGEF3	2
BBLN	2
RNF135	2
ZBTB49	2
SNRPB2	2
FGF16	2
TRIM44	2
CEP290	2
CCNL1	2
RNF20	2
GOPC	2
EIF3D	2
CAVIN1	2
THAP11	2
IKZF4	2
PAFAH1B3	2
MCC	2
ZZZ3	2
TPM3	2
KIAA1328	2
ZNF329	2
GRB10	2
WT1	2
GRXCR1	2
STAC3	2
XAGE1B	2
RNF40	2
SNRPA1	2
GRIPAP1	2
CSNK2A2	2
HOXA5	2
RPL11	2
MAP3K20	2
KPNA6	2
RPS25	2
HOMEZ	2
STK19	2
ZBTB8A	2
CDC73	2
ZBTB14	2
INO80E	2
CARD9	2
JRK	2
ZRANB1	2
TRIM37	2
PUDP	2
CDC42EP2	2
DMD	2
ANKRD36B	2
SNAPIN	2
MAB21L3	2
MTG1	2
HIC2	2
TSC22D4	2
KLHL40	2
CEP95	2
CALCOCO1	2
COPB1	2
RAD18	2
CHMP1B	2
GRB7	2
MAGEA4	2
BAIAP2L2	2
ZNF467	2
PSPC1	2
FBXL3	2
DNTTIP2	2
ZNF576	2
ZNF670	2
IKZF1	2
OSBPL3	2
VTA1	2
CEP70	2
CSNK2B	2
BRD1	2
ZNF451	2
SYCE1	2
TSPYL2	2
DNTTIP1	2
VIM	2
CDYL2	2
TRIM10	2
ZBTB2	2
NCBP1	2
IPO8	2
TNNT1	2
TBC1D15	2
ZNF2	2
ROBO3	2
RYBP	2
ABT1	2
TDO2	2
LNPK	2
LRRC73	2
NATD1	2
ZNF17	2
ZNF624	2
NOC4L	2
CAP2	2
RNF151	2
ZNF219	2
C1orf131	2
NINL	2
LMNB1	2
CCM2	2
DCPS	2
ZBTB39	2
UTP3	2
TPM4	2
RABEP1	2
FXR1	2
PLK4	2
ZFP1	2
DVL3	2
TPM1	2
HMGXB4	2
CASP8	2
RNMT	2
RFC4	2
PTRH1	2
LZTFL1	2
KPNA1	2
TNK1	2
MOB3C	2
VBP1	2
RUBCN	2
OARD1	2
KPNA5	2
ANKRD28	2
TLNRD1	2
DCUN1D5	2
VAX1	2
ALAS1	2
HUS1	2
HMBOX1	2
NFE2L2	2
MCM10	2
NUP50	2
SLIRP	2
AEBP2	2
FBXL8	2
TNKS	2
ISCU	2
ARMCX1	2
RFC3	2
B9D2	2
KPNA2	2
XAGE1A	2
CNKSR3	2
PICK1	2
CTNNAL1	2
WTAP	2
PDCD5	2
ANP32B	2
NOP53	2
FXR2	2
YJU2B	2
AIMP1	2
GPKOW	2
CCDC14	2
RNF169	2
GTF2B	2
PHF19	2
MSRA	2
LAMTOR5	2
PBX2	2
NR2C2AP	3
SSBP3	3
TCL1B	3
RAB32	3
PRIMPOL	3
PLK3	3
TEX43	3
ZNF559-ZNF177	3
UROD	3
LHX2	3
MAP3K7CL	3
PILRA	3
SNRPG	3
MEDAG	3
MED18	3
LRATD2	3
EMSY	3
SNRPE	3
ZNF177	3
SEPTIN5	3
LRMDA	3
BCL2L14	3
CRYBB1	3
TOM1	3
AFMID	3
FAM118A	3
PMVK	3
SEPTIN12	3
PPP3R2	3
AK8	3
PINX1	3
PSMB9	3
SEPTIN1	3
NAV1	3
AIDA	3
USF1	3
RFPL3	3
DDIT4L	3
LGALSL	3
RSRC2	3
PCBP3	3
TEX11	4
PRPS1	4
PTPDC1	4
DMTN	4
SNX6	4
PRPSAP2	4
BEX5	4
PRPSAP1	4
SNX2	4
CEP85L	4
ING3	4
CKM	5
LCK	5
ASB9	5
OCM	5
CKMT1B	5
CKMT1A	5
SH3BP1	6
ABI2	6
SOCS3	6
SNAP91	6
ATP6V1C2	6
KLHL24	6
KCTD17	6
GRAP2	6
LCP2	6
BAIAP2L1	6
GABPB1	6
TXK	6
HOXD8	6
GABPA	6
FYN	6
HEMK1	6
RHOJ	6
INTS2	6
BAIAP2	6
NCK1	6
SORBS2	6
SHANK2	6
PTK6	6
BLK	6
CDC42	6
SEC23A	6
SH3BP2	6
FADD	6
FBXL19	6
VAV3	6
HOXC4	6
ABI3	6
ZBTB12	6
ARHGAP12	6
EIF3H	6
CTTN	6
ANKK1	6
OSTF1	6
WIPF1	6
ABI1	6
PAK2	6
SH3RF1	6
BMX	6
VARS2	6
ZC2HC1A	6
GAREM1	6
NFAM1	6
BTG1	6
FGA	6
CCDC28B	6
SEC23IP	6
SEC23B	6
NCK2	6
CHN1	6
STAP2	6
BCL11A	6
ABL2	6
CHN2	6
GAB2	6
ONECUT3	6
RIPK1	6
GRB2	6
MIA3	6
TMA16	6
CIB1	6
TRIP10	6
ZNF341	6
YES1	6
SH3KBP1	6
ZC2HC1B	6
MAPK1	6
RER1	6
SF3A2	6
LDLRAP1	6
ELOVL6	6
CASTOR1	6
C4orf17	6
MYO1F	6
SCX	6
KDELR1	7
DLG3	7
DLGAP1	7
MAGI2	7
DLGAP3	7
DLGAP2	7
PLEKHA2	7
VTN	7
OSBP2	7
DLG2	7
EIF4H	7
PCSK5	8
NOTO	8
ZNF107	8
SIX2	8
YPEL3	8
NUFIP2	8
DUSP26	8
PSMD2	8
ATXN1	8
TENT5B	8
KLK8	8
PRR20C	8
LCE1C	8
ERH	8
ZC3H10	8
KIAA0040	8
SERTAD3	8
AOC1	8
AGXT	8
P3H3	8
TBC1D3G	8
MED25	8
CYTH3	8
AMOT	8
TBX2	8
IL10	8
ALDH3B1	8
HSPB2	8
ICAM4	8
PEAR1	8
MAJIN	8
CSTF2	8
ROR2	8
RGL2	8
CEP44	8
PRR35	8
DDX17	8
FAM167A	8
MED19	8
ZBTB32	8
KIFC3	8
AMMECR1	8
UNKL	8
ZCCHC13	8
EVX2	8
HOXA1	8
PLAC9	8
CYHR1	8
ZIC1	8
KRTAP10-10	8
TSPYL6	8
